sentence,label
"Papan njedhulipun Ki Godheg ing panggenanipun Dewi Sekartaji ngentosi ugi lajeng medal sumber toyanipun, ingkang salajengipun kangge oleh tetanen.",3
"Dewi Sekartaji lajeng minum toya degan ngantos ilang ngorongipun, turahanipun toya klapa ksirat-sirataken.",3
"Dhateng Ki Godheg, Dewi Sekartaji nyuwun, amrih papan enggal menika mbejang ing rejane jaman kawastanan desa Sekar.",3
Ki Godheg nayogyani.,3
"Ing wingkingipun, kasumerepan pranyata Ki Godheg menika mboten sanes Raden Panji Asmarabangun garwanipun Dewi Sekartaji.",3
"Piyambakipun linggar saking kraton, lelanabrata ngantos dumugi tlatah Pacitan (rumiyin dereng kasebat Pacitan).",3
"Samurcaipun Raden Panji Asmarabangun, Dewi Sekartaji sakelangkung sisah.",3
"Pramila piyambakipun ugi nilar praja Kediri, ngumbara sapérlu madosi ingkang garwa.",3
"Tindakipun Dewi Sekartaji dipuntutaken mbakyunipun, Dewi Sukonadi.",3
"Kados pundi cariyos salajengipun Panji Asmarabangun kaliyan Dewi Sekartaji wau, sasampunipun pinanggih mboten kacriyosaken.",3
Ingkang kasebat salajengipun namung asmanipun Ki Godheg pinangka pepundhenipun Desa Sekar ingkang cikal bakal babad wana ing mriki kinarya padunungan ing ngantos sakmenika kasebat desa Sekar.,3
"Seanosa rumiyin papan wau cengkar, sakmenika Desa Sekar kalebet desa ingkang subur karana wontenipun sumber toya tilas papan amblès saha njedhulipun Ki Godheg nalika pados degan.",3
Kanggé ngluhuraken Ki Godheg lajeng katindakaken adicara Ceprotan menika.,3
Tradhisi Ceprotan menika ngandhut makna pralambang menggahing tiyang gesang.,3
Barang utami ingkang kanggé tradhisi Ceprotan arupi cengkir.,3
Cengkir menika kapendhet saking tembung jawi “kencenging pikir”.,3
"Maknanipun tiyang ingkang kepengin nggayuh kekajengan, pepenginan kedah katindakaken kanthi kencenging pikir, kanthi tekad mantep.",3
Sawal-sawatan (balang-balangan) cengkir menika nglambangaken sifat gotong royong (kebersamaan).,3
Ingkung atawi ayam panggang dados lambang rejeki ingkang kita tampi saking pambudidaya ingkang mugen.,3
"Donga kaping kalih, pambuka saha panutup, ngemutaken saben awiwiti tumindak kedah emut Gusti, semanten ugi sasampunipun kasil, ugi emut dhateng Gusti.",3
Adicara tradhisi Ceprotan menika dening pamaréntah sampun katetepaken pinangka Warisan Budaya Tak Benda nalika warsa 2017.,3
"Makaten menggali lumampahing adicara Ceprotan ing Desa Sekar, Kecamatan Donorojo, Kabupaten Pacitan. ",3
Sampun sawatawis wekdal Sang Prabu Jayanagara masanggrah wonten dalemipun Buyut Bedhander kadherekake sawartawis barangkara ingkang tinindhihan Bekel Gajah Mada.,3
"Cumondhokipun Sang Prabu ing Bedhander awit saking krenahipun Bekel Gajah Mada, anggenipun milujengaken Sang Prabu.",3
"Linggaripun Sang Prabu saking kitharaja, sasampunipun kedadosan dahuru brontakipun Semi kaliyan Kuti ingkang saged ngebroki dhampar kedhaton.",3
"Nalika semanten bayangkara kraton dereng pulih kekiyatanipun sasampunipun numpes mbalelanipun Sura, Juru Demung saha Nambi.",3
"Ningali kawontenan makaten, Semi kaliyan Kuti nrambul karingkihanipun bayangkara kedhaton.",3
Sang Prabu dhawuh dhateng Mahapati kinen ngimpun para bayangkara ngadhepi Semi saha Kuti.,3
"Kelampahan sang Mahapati pinangih Semi dados pancakara, andadosken kekalihipun sampuh gugur ing rananggana.",3
Kuti dalah wadyabala kanthi guguripun Mahapati kados angsal angin anggenipun ngrabasa kedhaton.,3
"Inggih awit saking kedadosan punika, Bekel Gajah Mada lajeng ngaturi Sang Prabu linggar saking kedhaton miyos pungkuran.",3
Namung kadherekan kalih welas kawula ingkang tinindhihan Bekel Gajah Mada.,3
"Tindakipun Sang Prabu kanthi anamur kawula, ingkang kadhangkala tindakipun pinencar amrih mboten kasumerapan matapita mengsah.",3
"Kanthi makaten tindakipun Sang Prabu sapendhekan wilujeng ngantos dumugi papan ingkang tinuju, inggih menika Desa Bedhander.",3
"Para pandherek dalah kawula ing Bedhander lajeng mbangun pasanggrahan, sasampunipun pinaggih Buyut Bedhander.",3
"Bekel Gajah Mada ingkang pinangka tetindhihing lampah, dereng angsal pawatos menggah kawontenanipun kitharaja Majapahit, sadangunipun ndherekaken Sang Prabu linggar.",3
"Sang Prabu tansah cecaketan kaliyan Bekel Gajah Mada, amargi pancen mboten wonten pandherek sanesipun ingkang kinarya tamenging lampah.",3
"Sang Prabu rumaos nggrantes manahipun, ngraosaken risakipun kedhaton saha para kawula ingkang tinrajang dahuru gilir gumantos.",3
"Nalika Bekel Gajah Mada nembe medal saking ngarsanipun Sang Prabu, dipunpanggihi salah setunggalipun pandherek.",3
"“Ki Bekel, sampun sawatawis kula ndherekaken Sang Prabu makuwon ing Bedhander mriki. ”",3
"Mila, keparenga kula badhe tuwi dhateng kitharaja.",3
"“Lho kersa ndika kados pundi, kawontenan salebeting kithanagari dereng jelas, ndika badhe wangsul.”",3
“Kula kapang sanget kaliyan anak semah kula. ”,3
"Mbenjang sasampunipun pinangih sami wilujeng, kula enggal wangsul mriki.",3
"“Ndika menapa kesupen nalika badhe ndherekaken Sang Prabu, sampun prasetya pejah gesang sareng Sang Prabu. ”",3
Ndika ngertos akibatipun wangsul dhateng kitharaja.,3
"Menawi kacepeng mengsah, ngantos pakuwonipun Sang Prabu kadenangan, menapa ingkang badhe kedadosan.",3
"“Kula wangsul sarana dhedhemitan, saha namung pinangih anak semah kula.”",3
"“Sadaya pandherek, salaminipun Sang Prabu taksih wonten pangungsen, sok sintena kemawon mboten wonten ingkang kaparengake nilaraken rombongan. ”",3
"Mbokbilih wonten ingkang ndaga, kula Bekel Gajah Mada pinaringan purba wasesa dening Sang Prabu.",3
"Gajah Mada ngunus kyai Pamungkas, ingkang sinengkelit kajojohake dhadanipun pandherek ingkang ndaga punika tembus walikat.",3
"Sanalika pandherek ambruk, ngemasi.",3
"Tumindakipun Gajah Mada makatén, betekipun njagi kawilujenganipun Sang Prabu, awit nalika sareng-sareng nilar kedhaton sampun sami prasetya sabaya pejah sareng ratu gustinipun.",3
"Amargi menawi piyambakipun kelampahan wangsul dhateng kitha raja, kacepeng mengsah mesthi tinetér ingkang pungkasanipun miyak wewados papan pangungsenipun Sang Prabu.",3
"Punika ingkang kajagi Gajah Mada, saengga tega mrajaya.",3
"Ngantos tigang wulan Sang Prabu wonten Bedhander, ewasemanten dereng wonten pawartos saking kitharaja.",3
Kados pundi kawontenan kedhaton sasampunipun kraman saged ngebroki.,3
"Kados pundi para bayangkara ingkang setya dhateng Sang Prabu, ngadhepi para kraman.",3
"Ing satunggaling dinten, Bekel Gajah Mada matur Sang Prabu, gandheng ngantos tigang wulan dereng wonten pawartos saking kitharaja, pramila piyambakipun piyambak ingkang badhe lampah dom sumurping toya, mlebet kitharaja, badhe nyumerepi kawontenan praja.",3
"Mboten wonten pandherek sanes ingkang sumerep lampahipun Bekel Gajah Mada, wangsul dhateng kitharaja Majaphit.",3
Mboten kocap lampahipun ki Bekel ngantos saged lumebet kitharaja.,3
"Piyambakipun namur lampah kados kawula, kanthi nylamur kados bakul ider saperlu njaring pawartos kados pundi kawontenan sajengkaripun Sang Prabu.",3
"Pranyata kraman mlebet baluwarti kraton, nglebet baluwarti para pengawal kraton mboten kuwawi nandhingi kridhanipun Kuti sawadyabala.",3
"Saenggen-enggen Gajah Madha nyumerepi bilih para kawula sami atur sesaji dhateng Sang Widi Wasa, nyuwun kawilujenganipun Sang Prabu, saha enggal saged kondur ngedhaton.",3
"Pranyata para kawula sami mboten remen dhateng Kuti, awit tumindak sakwenang-wenang dhateng para kawula.",3
"Para wadyabalanipun Kuti sami anyarah rayah gadhaanipun kawula, mrawasa dhateng para pawestri.",3
"Saben-saben Gajah Mada nodhi, menggah pundi ingkang awrat kasetyan dhateng Sang Prabu menapa dhateng Kuti.",3
"Sedaya matur setya tuhu dhateng Sang Prabu, pramila para kawula tansah sesaji dhateng Sang Widi Wasa, amrih Sang Prabu enggal kondur.",3
"Sareng sampun cetha bilih para kawula kitharaja taksih setya dhateng ratu gustinipun, pramila Gajah Mada lajeng ndamel pawartos bilih sang Prabu Jayanagara sampun seda ing papan ingkang tebih saking kitha raja.",3
"Pawartos menika kangge mbuktekaken kasetyanipun para kawula, saha mancing kabingahanipun kraman Kuti.",3
"Sumebaripun pawartos sedanipun gusti Prabu Jayanagara, ndadosaken bombong manahipun Kuti.",3
"Piyambakipun lajeng ngempalaken para narapraja dalah kawula wonten paseban alun-alun saperlu mratelakaken bilih Sang Prabu Jayanegara sampun lampus, pramila sakmenika purba wasesa kraton Majapahit wonten piyambakipun.",3
"“Ngaturi uninga dhateng sadaya para nayaka praja saha kawula Majapahit, bilih gusti Prabu Jayanagara kalawingi sampun katimbalan Sanghyang Widi Wasa, seda ing papan ingkang tebih saking mriki.",3
"Dene sakmenika tata rakiting praja, purba wasesa wonten tangan kula, Kuti.”",3
"Sanalika para narapraja, sentana saha kawula Majapahit dados geger mireng pawartos menika.",3
"Biwara sedanipun Sang Prabu kaundhangken saindenging praja, dening para kraman ingkang sampun sumebar.",3
"Sekedap kemawon paseban alun-alun sampun kebak para sentana dalah kawula Majapahit ingkang sami asung belasungkawa, mlabar dumugi alun-alun.",3
"Suwanten tetangisan mboten kendhat, awit rumaos kecalan ratu gustinipun.",3
"Rikala menika, Kuti anggenipun sesorah makantar-kantar, rumaos kados sinengkuyung sadaya kawula Majapahit.",3
"“Heh sadaya para kawula Majapahit, menapa sisah menawi tinilar Ratu ingkang mboten gadhah tanggung jawab, nilar kawulanipun pados slametipun piyambak?”",3
"“Menapa ingkang ndika ajeng-ajeng saking sang Prabu, ingkang sampun nilar ndika sedaya. Panguwaos Majapahit sakmenika wonten kula.”",3
"Mireng sesorahipun Kuti, sami pating clebung mancahi ucapipun Kuti.",3
"Sawetawis wonten ingkang ngawon-awon Kuti, wonten ingkang mastani Kuti melik nggendhong lali, saha sanes-sanesipun.",3
"“Ndika sedaya mboten pantes mbelani panguwaos ingkang ngucireng yuda, ingkang mboten gadhah tanggel jawab dhateng kawulanipun.",3
"Pramila ingkang sampun mboten wonten, mboten perlu dipikir, mboten perlu digetuni.",3
Sedaya sampun dados kersanipun ingkang Akarya Jagad.,3
"Mugi kawula ing Majapahit anyekseni, bilih dinten menika kula pinangka panguwaos ing Majapahit.”",3
"Wonten salah setunggalipun kawula ingkang minggah, lajeng mbengok sora.",3
“Kawula Majapahit sedaya mboten setuju. Kawula sedaya namung ngakeni bilih Gusti Prabu Jayanagara pinangka sesembahan kawula sedaya.”,3
"Dumadakan salah setunggal tiyangipun Kuti, minggah kanthi ngliga pedhang, langsung mbabitaken pedhangipun, sarwi mbengok.",3
"Ingkang sinabet pedhang ambruk adus ludira, ngemasi.",3
"“Sakmenika panguwaos Majapahit wonten astanipun ndara Kuti,” ",3
"Nyumerepi kawontenan wau, Bekel Gajah Mada ingkang sampun wonten tengahe para kawula, mbengok ndamel cingakipun sadaya ingkang kempai.",3
“Para kadang sadaya menapa sadaya taksih tresna dhateng Sang Prabu.”,3
"“Menawi taksih tresna dhateng Sang Prabu, cobi samiya mundhi dedamel saha aprasetya.”",3
Sanalika tiyang-tiyang mundhi saweripun dedamel saha lajeng prasetya.,3
"“Para sentana, kawula Majapahit tan wonten ingkang piniji, kula Bekel Gajah Mada, martakaken bilih Sang Prabu Jayanagara ngantos sakmenika taksih wilujeng nir ing sambekala, jinangkung Hyang Maha Agung.",3
"Pawartos sedanipun Gusti mboten leres, menika namung kangge nodhi sepinten katresnanipun kawula dhateng ratu gustinipun.",3
"Pranyata sedaya kawula taksih setya dhateng Sang Nata, namung saglintir tiyang-tiyang ingkang ngorong panguwaos lajeng damel gara-gara, menika tiyang candhala kados lampahipun Sora, Semi, Kuti sakkomplotanipun.”",3
"Mireng pambiwara saking bekel Gajah Mada, tanpa wonten prentah sanalika kawula ngransang Kuti sak andhanaipun.",3
Kuti mboten nginten menawi piyambakipun badhe kinarubut.,3
"Pagelaran dados geger, Kuti ngemasi dalah para andhahanipun kathah ingkang ngemasi.",3
Surak mawuruhan sadaya narapraja dalah kawula ingkang sampun saged numpes Kuti sawadyabalanipun.,3
Bekel Gajah Mada lajeng dhawuh dhateng sadaya kawula Majapahit sumpados nyamaptakaken sadaya kabetahan kangge mahargya konduripun Sang Prabu.,3
"Gajah Mada pamit wangsul dhateng Bedhander badhe ngaturi Sang Prabu kondur dhateng kedhaton, bilih kawontenan kitharaja Majapahit sampun aman.",3
"Jaman Presiden Sukarno ing warsa 1945-1959, wonten kalenggahan (jabatan) Perdana Menteri pinangka pangarsa (Kepala) Paprentahan.",3
"Salebetipun warsa 1945-1959, wonten kalenggahan Perdana Menteri cacah 10 (sedasa).",3
"Ing kalodhangan menika, Titis Basa badhe ngaturaken biografi Perdana Menteri ingkang kapisan, inggih menika Sutan Syahrir ingkang ugi pinangka Pahlawan Nasional.",3
"Sutan Syahrir miyos ing kitha Padang Panjang, Sumatra Kulon tanggal 5 Maret 1909.",3
Ramanipun Mohamad Rosad ingkang nyandhang gelar bangsawan Maharaja Sutan bin Sutan Leman gelar Sutan Palindih.,3
"Ibunipun Puti Siti Rabiah asli saking Koto Gadang, ugi laladan Sumatra Kilen.",3
"Sultan Syahrir pinangka putra bangsawan, pramila saged sekolah wonten ELS (Europeesche Lagere School), menawi sakmenika Sekolah Dasar (SD).",3
"Saking ELS nglajengaken dhateng MULO (Meer Uitgebreid Lager Onderwijs) sakmenika SMP, lulus saking MULO mlebet AMS (Algemeene Middelbare School) wonten Bandung.",3
"Wiwit wonten AMS menika Sutan Syahrir miwiti kegiatan organisasi, nyerat kangge kalawarti, ugi ndherek klub kesenian ing sekolahanipun.",3
"Tamat saking AMS nglajengaken kuliah wonten negari Walandi, mlebet wonten Fakultas Hukum ing Universitas Amsterdam.",3
Sutan Syahrir kuliah sinambi nyambut damel wonten Sekretariat Buruh Transportasi Internasional.,3
"Wonten negari Walandi piyambakipun tepang kaliyan tokoh-tokoh politik internasional, wiwit nyinaoni babagan politik.",3
"Piyambakipun kathah nyinaoni teori-teori Sosialisme, sesarengan mitranipun Salomon Tass ingkang dados Ketua Club Mahasiswa Sosial Demokrat.",3
Wonten mrika Sutan Syahrir ugi dados anggota Perhimpunan Indonesia ingkang dipunpimpin Mohamad Hatta.,3
"Anggenipun kuliah wonten Amsterdam mboten tamat, warsa 1931 piyambakipun medal lajeng wangsul dhateng Indonesia nglajengaken perjuwangan nggayuh kamardikan Indonesia.",3
"Sultan Syahrir mlebet Partai Nasional Indonesia Baru ingkang dipunpimpin Bung Hatta, sasampunipun Bung Karno pinangka pimpinan Partai Nasional Indonesia (PNI) dipunkendhangaken Pamarentah Hindia Belanda.",3
"Bung Hatta lajeng ngedegaken PNI Baru, ingkang dipun pimpin sesarengan Sutan Syahrir.",3
Wangsulipun Sutan Syahrir dhateng Indonesia dipun susul Maria Duchateau garwanipun Salomon Tass.,3
Nalika tanggal 10 April 1932 Syahrir nikah kaliyan Maria Duchateau wonten Medan.,3
"Pamarentah Hindia Belanda sumerep pramila pernikahan wau nalika tanggal 5 Mei 1932 dipun batalaken, lan Maria Duchateau kawangsulaken dhateng Walandi.",3
"Sutan Syahrir kaliyan Mohamat Hatta nglajengaken pergerakan tumuju Indonesia merdeka, saengga piyambakipun kekalih dipun tangkep pamarentah lajeng kaselong dhateng Boven Digul, Papua nalika tanggal 28 Januari 1935.",3
Warsa 1936 kekalihipun dipunpindhah dhateng Bandanaira ngantos warsa 1942.,3
Wonten Bandanaira pinanggih Iwa Kusumasumantri kaliyan Cipta Mangunkusuma ingkang kaselong langkung rumiyin.,3
Warsa 1942 jaman Jepang sadaya lawanan Hindia Belanda dipunbebasaken dening Jepang.,3
"Syahrir wangsul ing tanah Jawi, lan jaman Jepang berjuang “di bawah tanah"" kangge nggayuh kamardikan Indonesia.",3
"Nalika tanggal 15 Agustus, Sutan Syahrir ingkang dipunsengkuyung para pemudha ndheseg Bung Karno kaliyan Bung Hatta supados ngumandhangaken kamardikan.",3
Bung Karno ngugemi keputusan Panitia Persiapan Kamardikan Indonesia (PPKI) bilih kamardikan badhe katetepaken tanggal 24 September.,3
"Menika ingkang njalari para pemuda tanggal 16 Agustus 1945 mboten sabar, lajeng nyulik Bung Karno kaliyan Bung Hatta kabeta dhateng Rengasdengklok.",3
Sepisan malih para pemudha ndheseg Bung Karno ngumandhangaken kamardikan.,3
"Pungkasanipun kamardikan Indonesia dipunkumandhangaken dening Bung Karno kaliyan Bung Hatta, tanggal 17 Agustus 1945 wanci tabuh 10.00 saking Pegangsaan Timur 56, Jakarta.",3
Tanggal 14 November 1945 - 2 Maret 1946 Sutan Syahrir dipunangkat pinangka Perdana Menteri sepisanan.,3
"Tanggal 2 Maret 1946 - 2 Oktober 1946 dipun kendeli, saengga mboten wonten Perdana Menteri.",3
"Nanging, tanggal 2 Oktober 1946 dipunangkat malih dados Perdana Menteri ngantos 3 Juli 1947.",3
Warsa 1947 Sutan Syahrir makili Indonesia ing Sidang PBB ingkang ngasilaken Pamarentah Walandi ngakeni kedaulatan saha kamardikan Indonesia.,3
"Sasampunipun mboten dados Perdana Menteri, Sutan Syahrir kaangkat dados penasehat Presiden, saha dados Duta Keliling.",3
Warsa 1948 ngedegaken Partai Sosialis Indonesia (PSI).,3
"Warsa 1951 Sutan Syahrir krama malih kaliyan Siti Wahyunah, akad nikahipun wonten Mesir.",3
"Kaliyan Siti Wahyunah pinaringan putra kalih, Kriya Aisiah Syahrir kaliyan Siti Rabiyah Parvati Syahrir.",3
"Salebetipun warsa 1951-1960-an Sutan Syahrir mboten wonten pemerintahan malih, nanging giyat ing partai politik, inggih menika Partai Sosialis Indonesia (PSI) kaliyan nyerat kangge majalah Daulat Rakyat, Suara Sosialis saha surat kabar sanesipun.",3
Kathah seratan-seratanipun ingkang ngengingi perjuangan ingkang kaserat wiwit warsa 1931. ,3
Saperangan wonten ingkang dipunterjemahaken saking basa Landi saha katerbitaken dening I. B. Yasin.,3
"Warsa 1960 Partai Sosialis Indonesia dipunbubaraken pamarentah amargi dinakwa katut gerakan pemberontakan PRRI (Pemerintahan Revolusioner Republik Indonesia) warsa 1958 ing pusatipun ing Padang, Sumatra Kilen.",3
"Saengga ing warsa 1962 Sutan Syahrir dipuntangkep, dipunbui tanpa sidang pengadilan ngantos warsa 1965.",3
"Wonten bui Sutan Syahrir nandang gerah strook, Pamarentah ngidini Sutan Syahrir berobat dhateng Zurich, Swiss, kanthi prabbeya negari.",3
Pungkasanipun Sutan Syahrir seda wonten Swiss nalika tanggal 9 April 1966.,3
"Ngepasi sedanipun, pamarentah Republik Indonesia kanthi Keputusan Presiden No. 76 taun 1966 netepaken Sutan Syahrir pinangka Pahlawan Nasional.",3
Pramila jenasahipun kasarekaken ing Makam Pahlawan Kalibata.,3
"Kabupaten Pacitan ingkang dumunung ing poncot kidul kilen Propinsi Jawi Wetan, nyimpen papan pariwisata ingkang sakalangkung ngelami-elami.",3
"Bilih rumiyin Pacitan mujudaken Kabupaten ingkang kapencil ing Jawi Wetan, awit ngrekaosipun margi tumuju Pacitan.",3
"Nanging karana kemajenganipun pembangunan, sakpunika prasarana sesambetan sampun lancar, punapa malih wontenipun JLS (Jalan Lingkar Selatan), sesambetan ing laladan kidul Yogya - Wonogiri - Pacitan - Trenggalek langkung lancar.",3
"Rumiyin kondhang tlatah cengkar, kasebat kutha Thiwul amargi pancen warganipun ngantos warsa 1970-an patedhan utami sekul gaplek (thiwul).",3
Nanging sakmenika sampun kangelan pados sekul thiwul.,3
Sakmenika Kabupaten Pacitan ngondhangken sebatan “Kota Seribu Satu Goa”.,3
"Mboten klentu, awit kathahipun guwa-guwa ageng alit ingkang mboten saged cinacah.",3
"Kepara wonten nami guwa sewu (luweng sewu) ingkang wonten pecngan sela kapur mbanjeng saking pesisir Barehan mangetan ngantos dumugi Purwoasri, Kebonangung.",3
"Papan Pariwisata ing Kabupaten Pacitan ingkang manjila inggih punika wisata alam, ingkang arupi guwa saha pesisir.",3
"Kalarumiyin papan wisata guwa namung guwa Tabuhan saha guwa Kalak, pesisir namung pesisir Telengria utawi teluk Barehan.",3
"Nanging sakmenika kathah guwa-guwa enggal ingkang ngelam-elmi kapanggihaken, saha kathah pesisir-pesisir ingkang dados tujuan wisata ing Pacitan.",3
"Mboten aneh bilih Pacitan ngondhangaken sebatan “Kota Seribu Goa”, jer Kabupaten Pacitan nggadhahi guwa paling kathah katandhingaken kaliyan kabupaten sanesipun.",3
"Cacahipun guwa ingkang sampun kacathet (didata -basa Indonesia) paling mboten sampun wonten 106 guwa, ingkang kathah sumebar ing pesisir kidul.",3
"Saking cacah guwa 106 kala wau, paling mboten wonten 13 guwa ingkang pinangka destinasi (tujuan) wisata guwa.",3
"Wiwit guwa Tabuhan sampun kondhang wiwit jaman Pangeran Mangkubumi, pinangka papan tarakbrata saha mesubudi.",3
Guwa Tabuhan suwaunipun nami guwa Tapan amargi kangge papan mertapa. ,3
"Jaman perang Diponegoro, Ali Basya Senrot Prawirodirdjo inggih mertapa wonten mriki.",3
"Gantos nami guwa Tabuhan, amargi stalaktit saha stalagmitipun menawi katabuh saged kangge ngiringi gendhing/tetembangan.",3
Asring wonten wisatawan ingkang nanggap sindhen kanthi iringan sela wau.,3
"Mapanipun wonten desa Wareng, Kecamatan Punung namung 3 km saking margi ageng Pacitan-Solo.",3
"Guwa Kalak ing desa Sendang, Kecamatan Donorojo ugi kondhang dipunpercados papan pamuksanipun Brawijaya Pamungkas, rikala madosi putranipun Raden Prawiroyuda, inggih Ki Ageng Kalak.",3
Guwa kalih menika ingkang kala rumiyin kondhang kajawi pinangka papan pertapanipun para leluhur inggih ngandhut mistis.,3
"Wiwit warsa 70 kapanggihaken guwa-guwa enggal, ingkang cacahipun atusan guwa.",3
"Kados ingkang katur ing ngajeng, ingkang sampun kacathet wonten 106 guwa.",3
"Saking cacah guwa 106 punika, paling mboten wonten guwa 13 ingkang kadadosaken tujuan wisata kalebet papan petualangan.",3
"Sasampunipun guwa Tabuhan kaliyan guwa Kalak, kapanggihaken guwa Gong, ing dusun Pule, Desa Bomo, Kecamatan Punung.",3
"Guwa Dhawung ingkang lajeng kasebat guwa Sendang Pitu, amargi ing lebetipun guwa wonten sendhang utawi sumber toya cacah pitu, mapan ing desa Piton Kecamatan Punung.",3
"Guwa Sukamana ingkang nembe kapanggihaken warsa 2013, mapan ing desa Dhadhapan, Kecamatan Pringkuku.",3
"Guwa Pedhen ing desa Seso, Kecamatan Pringkuku, nggadhahi stalakmit wangun pocongan.",3
"Ing lebet guwa wonten ruangan cacah sekawan, kangge tumuju ruangan-ruangan wau kedah menek sela.",3
"Guwa Semedi mapan ing desa Sooka, Kecamatan Punung.",3
Kasebat guwa Semedi miturut cariyos jaman rumiyin kangge semedi (mertapa).,3
"Amargi dereng wonten lampu, kangge wisatawan kedah mbeta senter.",3
"Luweng Plente mapan ing desa Jlubang, Kecamatan Pringkuku.",3
"Kasebat luweng amargi guwa menika njuleg wonten ngandhap, kangge mlebet guwa sarana andha.",3
Kathah stalaktit saha stalakmit ingkang endah ngelam-elami.,3
"Luweng Ombo, mapan ing desa Kalak, Kecamatan Donorojo.",3
Luweng Ombo menika mujudaken guwa paling ageng saha paling lebet ing pulo Jawi.,3
"Song Terus, mapan ing desa Wareng, Kecamatan Punung.",3
"Song Terus ingkang panjangipun 150 meter, mujudaken situs arkeologi jaman Prasejarah.",3
